(0.108484,0)	(0.202431,0)	(0.274089,0)	(0.322218,0)	(0.351017,0)	(0.36402,0)	(0.366621,0)	(0.363015,0)	(0.356402,0)	(0.348293,0)	(0.339608,0)	(0.330809,0)	(0.322362,0)	(0.314168,0)	(0.306369,0)	(0.299148,0)	(0.292134,0)	(0.285831,0)	(0.279805,0)	(0.273871,0)	(0.268015,0)	(0.262257,0)	(0.256545,0)	(0.251006,0)	(0.245607,0)	(0.24035,0)	(0.235165,0)	(0.229977,0)	(0.224947,0)	(0.220055,0)	(0.215256,0)	(0.210553,0)	(0.205987,0)	(0.201507,0)	(0.197234,0)	(0.193164,0)	(0.189463,0)	(0.186063,0)	(0.18321,0)	(0.181078,0)	(0.179892,0)	(0.179387,0)	(0.179451,0)	(0.179641,0)	(0.179153,0)	(0.175917,0)	(0.167095,0)	(0.147961,0)	(0.11183,0)	(0.0612933,0)	
(0.202431,0)	(0.377771,0)	(0.511486,0)	(0.601296,0)	(0.655027,0)	(0.679275,0)	(0.684114,0)	(0.677374,0)	(0.665025,0)	(0.649886,0)	(0.633675,0)	(0.617253,0)	(0.601489,0)	(0.586197,0)	(0.571643,0)	(0.558169,0)	(0.54508,0)	(0.53332,0)	(0.522076,0)	(0.511004,0)	(0.500077,0)	(0.489333,0)	(0.478676,0)	(0.46834,0)	(0.458267,0)	(0.448458,0)	(0.438784,0)	(0.429104,0)	(0.419718,0)	(0.410591,0)	(0.401636,0)	(0.392861,0)	(0.384341,0)	(0.375982,0)	(0.368011,0)	(0.360416,0)	(0.35351,0)	(0.347166,0)	(0.341843,0)	(0.337865,0)	(0.335653,0)	(0.334711,0)	(0.334829,0)	(0.335185,0)	(0.334274,0)	(0.328235,0)	(0.311775,0)	(0.276073,0)	(0.208659,0)	(0.114364,0)	
(0.274089,0)	(0.511486,0)	(0.692851,0)	(0.814653,0)	(0.887542,0)	(0.920434,0)	(0.927002,0)	(0.917869,0)	(0.901135,0)	(0.880623,0)	(0.858658,0)	(0.836408,0)	(0.815048,0)	(0.794329,0)	(0.774609,0)	(0.756351,0)	(0.738616,0)	(0.722681,0)	(0.707445,0)	(0.692443,0)	(0.677636,0)	(0.663077,0)	(0.648636,0)	(0.63463,0)	(0.620982,0)	(0.607689,0)	(0.594581,0)	(0.581463,0)	(0.568745,0)	(0.556378,0)	(0.544242,0)	(0.532352,0)	(0.520807,0)	(0.50948,0)	(0.498678,0)	(0.488386,0)	(0.479029,0)	(0.470433,0)	(0.463219,0)	(0.457828,0)	(0.454831,0)	(0.453554,0)	(0.453715,0)	(0.454197,0)	(0.452962,0)	(0.44478,0)	(0.422475,0)	(0.374097,0)	(0.282746,0)	(0.154971,0)	
(0.322218,0)	(0.601296,0)	(0.814653,0)	(0.958787,0)	(1.04526,0)	(1.08461,0)	(1.09278,0)	(1.08231,0)	(1.0628,0)	(1.03877,0)	(1.01298,0)	(0.986824,0)	(0.961692,0)	(0.937294,0)	(0.91406,0)	(0.89254,0)	(0.871629,0)	(0.852835,0)	(0.834862,0)	(0.817162,0)	(0.799691,0)	(0.782511,0)	(0.76547,0)	(0.748942,0)	(0.732835,0)	(0.717149,0)	(0.701679,0)	(0.686198,0)	(0.671189,0)	(0.656594,0)	(0.642273,0)	(0.628241,0)	(0.614617,0)	(0.601249,0)	(0.588502,0)	(0.576356,0)	(0.565313,0)	(0.555169,0)	(0.546655,0)	(0.540294,0)	(0.536757,0)	(0.53525,0)	(0.53544,0)	(0.536008,0)	(0.534551,0)	(0.524895,0)	(0.498573,0)	(0.441481,0)	(0.333675,0)	(0.182885,0)	
(0.351017,0)	(0.655027,0)	(0.887542,0)	(1.04526,0)	(1.1418,0)	(1.18635,0)	(1.19637,0)	(1.18564,0)	(1.16481,0)	(1.1389,0)	(1.11095,0)	(1.08251,0)	(1.05513,0)	(1.0285,0)	(1.00311,0)	(0.979565,0)	(0.956663,0)	(0.936067,0)	(0.916361,0)	(0.896947,0)	(0.877779,0)	(0.858926,0)	(0.840225,0)	(0.822083,0)	(0.804405,0)	(0.787187,0)	(0.770206,0)	(0.753214,0)	(0.736739,0)	(0.720719,0)	(0.704999,0)	(0.689596,0)	(0.674642,0)	(0.659968,0)	(0.645976,0)	(0.632644,0)	(0.620523,0)	(0.609388,0)	(0.600043,0)	(0.59306,0)	(0.589178,0)	(0.587524,0)	(0.587732,0)	(0.588356,0)	(0.586757,0)	(0.576157,0)	(0.547264,0)	(0.484597,0)	(0.366262,0)	(0.200746,0)	
(0.36402,0)	(0.679275,0)	(0.920434,0)	(1.08461,0)	(1.18635,0)	(1.23585,0)	(1.24847,0)	(1.23876,0)	(1.21805,0)	(1.19178,0)	(1.16314,0)	(1.13385,0)	(1.10554,0)	(1.0779,0)	(1.05148,0)	(1.02694,0)	(1.00302,0)	(0.981486,0)	(0.960864,0)	(0.940533,0)	(0.920448,0)	(0.900689,0)	(0.881083,0)	(0.862063,0)	(0.843526,0)	(0.825471,0)	(0.807665,0)	(0.789847,0)	(0.77257,0)	(0.755771,0)	(0.739286,0)	(0.723135,0)	(0.707453,0)	(0.692066,0)	(0.677393,0)	(0.663413,0)	(0.650702,0)	(0.639025,0)	(0.629226,0)	(0.621904,0)	(0.617832,0)	(0.616098,0)	(0.616317,0)	(0.61697,0)	(0.615293,0)	(0.604178,0)	(0.57388,0)	(0.508165,0)	(0.384075,0)	(0.210509,0)	
(0.366621,0)	(0.684114,0)	(0.927002,0)	(1.09278,0)	(1.19637,0)	(1.24847,0)	(1.26494,0)	(1.25736,0)	(1.23804,0)	(1.21254,0)	(1.18436,0)	(1.15524,0)	(1.12695,0)	(1.09919,0)	(1.07254,0)	(1.04771,0)	(1.02345,0)	(1.00157,0)	(0.980589,0)	(0.95988,0)	(0.939407,0)	(0.919255,0)	(0.899253,0)	(0.879845,0)	(0.860927,0)	(0.842501,0)	(0.824329,0)	(0.806143,0)	(0.78851,0)	(0.771364,0)	(0.754539,0)	(0.738054,0)	(0.722049,0)	(0.706344,0)	(0.691369,0)	(0.6771,0)	(0.664127,0)	(0.652209,0)	(0.642208,0)	(0.634735,0)	(0.630579,0)	(0.628809,0)	(0.629032,0)	(0.6297,0)	(0.627988,0)	(0.616644,0)	(0.58572,0)	(0.518649,0)	(0.391999,0)	(0.214852,0)	
(0.363015,0)	(0.677374,0)	(0.917869,0)	(1.08231,0)	(1.18564,0)	(1.23876,0)	(1.25736,0)	(1.25351,0)	(1.23669,0)	(1.21305,0)	(1.18622,0)	(1.15814,0)	(1.1306,0)	(1.10338,0)	(1.07709,0)	(1.05248,0)	(1.02834,0)	(1.00651,0)	(0.985532,0)	(0.964785,0)	(0.944249,0)	(0.924018,0)	(0.903928,0)	(0.884426,0)	(0.865415,0)	(0.846895,0)	(0.828628,0)	(0.810348,0)	(0.792623,0)	(0.775388,0)	(0.758475,0)	(0.741905,0)	(0.725815,0)	(0.710029,0)	(0.694975,0)	(0.680632,0)	(0.667592,0)	(0.655611,0)	(0.645558,0)	(0.638046,0)	(0.633869,0)	(0.632089,0)	(0.632314,0)	(0.632984,0)	(0.631264,0)	(0.61986,0)	(0.588776,0)	(0.521355,0)	(0.394044,0)	(0.215973,0)	
(0.356402,0)	(0.665025,0)	(0.901135,0)	(1.0628,0)	(1.16481,0)	(1.21805,0)	(1.23804,0)	(1.23669,0)	(1.22407,0)	(1.20346,0)	(1.17893,0)	(1.15262,0)	(1.12648,0)	(1.10031,0)	(1.0748,0)	(1.05077,0)	(1.02703,0)	(1.00548,0)	(0.984683,0)	(0.964063,0)	(0.94361,0)	(0.923435,0)	(0.903382,0)	(0.883906,0)	(0.864913,0)	(0.846408,0)	(0.828154,0)	(0.809884,0)	(0.79217,0)	(0.774945,0)	(0.758042,0)	(0.74148,0)	(0.7254,0)	(0.709623,0)	(0.694578,0)	(0.680243,0)	(0.66721,0)	(0.655236,0)	(0.645188,0)	(0.637681,0)	(0.633506,0)	(0.631727,0)	(0.631952,0)	(0.632622,0)	(0.630903,0)	(0.619506,0)	(0.588439,0)	(0.521056,0)	(0.393819,0)	(0.215849,0)	
(0.348293,0)	(0.649886,0)	(0.880623,0)	(1.03877,0)	(1.1389,0)	(1.19178,0)	(1.21254,0)	(1.21305,0)	(1.20346,0)	(1.18742,0)	(1.16624,0)	(1.14255,0)	(1.11844,0)	(1.09385,0)	(1.06956,0)	(1.04642,0)	(1.02334,0)	(1.00224,0)	(0.981781,0)	(0.961394,0)	(0.941107,0)	(0.921053,0)	(0.901092,0)	(0.881689,0)	(0.862757,0)	(0.844304,0)	(0.826099,0)	(0.807876,0)	(0.790207,0)	(0.773024,0)	(0.756163,0)	(0.739643,0)	(0.723602,0)	(0.707864,0)	(0.692856,0)	(0.678557,0)	(0.665556,0)	(0.653612,0)	(0.643589,0)	(0.6361,0)	(0.631936,0)	(0.630161,0)	(0.630385,0)	(0.631054,0)	(0.629339,0)	(0.61797,0)	(0.58698,0)	(0.519765,0)	(0.392843,0)	(0.215314,0)	
(0.339608,0)	(0.633675,0)	(0.858658,0)	(1.01298,0)	(1.11095,0)	(1.16314,0)	(1.18436,0)	(1.18622,0)	(1.17893,0)	(1.16624,0)	(1.14983,0)	(1.1297,0)	(1.10844,0)	(1.08607,0)	(1.0635,0)	(1.04166,0)	(1.01953,0)	(0.999107,0)	(0.979123,0)	(0.959069,0)	(0.93901,0)	(0.919114,0)	(0.899265,0)	(0.879941,0)	(0.86107,0)	(0.842665,0)	(0.824501,0)	(0.806317,0)	(0.788683,0)	(0.771534,0)	(0.754706,0)	(0.738217,0)	(0.722208,0)	(0.706499,0)	(0.691521,0)	(0.677249,0)	(0.664273,0)	(0.652352,0)	(0.642348,0)	(0.634874,0)	(0.630717,0)	(0.628947,0)	(0.62917,0)	(0.629838,0)	(0.628126,0)	(0.616779,0)	(0.585849,0)	(0.518763,0)	(0.392085,0)	(0.214899,0)	
