(0.998962,0)	(0.319608,0)	(0.114355,0)	(0.0444243,0)	(0.0180578,0)	(0.0075129,0)	(0.0031597,0)	(0.00133515,0)	(0.000565283,0)	(0.000239525,0)	(0.000101525,0)	(4.30371e-05,0)	(1.82444e-05,0)	(7.73421e-06,0)	(3.27869e-06,0)	(1.38988e-06,0)	(5.89188e-07,0)	(2.49763e-07,0)	(1.05877e-07,0)	(4.48819e-08,0)	(1.90258e-08,0)	(8.06515e-09,0)	(3.41885e-09,0)	(1.44927e-09,0)	(6.14354e-10,0)	(2.60429e-10,0)	(1.10397e-10,0)	(4.67981e-11,0)	(1.98379e-11,0)	(8.40935e-12,0)	(3.56476e-12,0)	(1.51112e-12,0)	(6.40565e-13,0)	(2.71539e-13,0)	(1.15107e-13,0)	(4.8794e-14,0)	(2.06838e-14,0)	(8.76793e-15,0)	(3.71675e-15,0)	(1.57554e-15,0)	(6.67879e-16,0)	(2.83116e-16,0)	(1.20014e-16,0)	(5.08742e-17,0)	(2.15657e-17,0)	(9.14163e-18,0)	(3.8747e-18,0)	(1.64128e-18,0)	(6.92269e-19,0)	(2.80171e-19,0)	
(0.319608,0)	(1.0009,0)	(0.32537,0)	(0.117612,0)	(0.0459877,0)	(0.0187925,0)	(0.00784311,0)	(0.00330383,0)	(0.00139713,0)	(0.000591755,0)	(0.000250793,0)	(0.000106313,0)	(4.50702e-05,0)	(1.91071e-05,0)	(8.10017e-06,0)	(3.43389e-06,0)	(1.4557e-06,0)	(6.17097e-07,0)	(2.61596e-07,0)	(1.10894e-07,0)	(4.70091e-08,0)	(1.99275e-08,0)	(8.44739e-09,0)	(3.58091e-09,0)	(1.51797e-09,0)	(6.4348e-10,0)	(2.72776e-10,0)	(1.15631e-10,0)	(4.90166e-11,0)	(2.07783e-11,0)	(8.80802e-12,0)	(3.73376e-12,0)	(1.58275e-12,0)	(6.70935e-13,0)	(2.84413e-13,0)	(1.20563e-13,0)	(5.11069e-14,0)	(2.16643e-14,0)	(9.18357e-15,0)	(3.89294e-15,0)	(1.65024e-15,0)	(6.99541e-16,0)	(2.96538e-16,0)	(1.25703e-16,0)	(5.32859e-17,0)	(2.25877e-17,0)	(9.57385e-18,0)	(4.05537e-18,0)	(1.7105e-18,0)	(6.92263e-19,0)	
(0.114355,0)	(0.32537,0)	(1.00012,0)	(0.32568,0)	(0.117867,0)	(0.0461269,0)	(0.0188659,0)	(0.00787804,0)	(0.00331946,0)	(0.00140393,0)	(0.000594675,0)	(0.00025204,0)	(0.000106844,0)	(4.52957e-05,0)	(1.92028e-05,0)	(8.14076e-06,0)	(3.4511e-06,0)	(1.46301e-06,0)	(6.20196e-07,0)	(2.6291e-07,0)	(1.11451e-07,0)	(4.72454e-08,0)	(2.00276e-08,0)	(8.48988e-09,0)	(3.59893e-09,0)	(1.52562e-09,0)	(6.4672e-10,0)	(2.74148e-10,0)	(1.16213e-10,0)	(4.92631e-11,0)	(2.08829e-11,0)	(8.85233e-12,0)	(3.75252e-12,0)	(1.59071e-12,0)	(6.74312e-13,0)	(2.85842e-13,0)	(1.21169e-13,0)	(5.13638e-14,0)	(2.17733e-14,0)	(9.22975e-15,0)	(3.91254e-15,0)	(1.65854e-15,0)	(7.03059e-16,0)	(2.98029e-16,0)	(1.26335e-16,0)	(5.3553e-17,0)	(2.26986e-17,0)	(9.61484e-18,0)	(4.05541e-18,0)	(1.64128e-18,0)	
(0.0444243,0)	(0.117612,0)	(0.32568,0)	(1.00002,0)	(0.325714,0)	(0.117898,0)	(0.0461449,0)	(0.0188762,0)	(0.00788304,0)	(0.00332174,0)	(0.00140493,0)	(0.000595108,0)	(0.000252226,0)	(0.000106923,0)	(4.53291e-05,0)	(1.92169e-05,0)	(8.14674e-06,0)	(3.45365e-06,0)	(1.46409e-06,0)	(6.20655e-07,0)	(2.63106e-07,0)	(1.11534e-07,0)	(4.72803e-08,0)	(2.00426e-08,0)	(8.49623e-09,0)	(3.60163e-09,0)	(1.52676e-09,0)	(6.47202e-10,0)	(2.74353e-10,0)	(1.16299e-10,0)	(4.92998e-11,0)	(2.08984e-11,0)	(8.85887e-12,0)	(3.75532e-12,0)	(1.5919e-12,0)	(6.74811e-13,0)	(2.86053e-13,0)	(1.21259e-13,0)	(5.14019e-14,0)	(2.17894e-14,0)	(9.23663e-15,0)	(3.91544e-15,0)	(1.65977e-15,0)	(7.0358e-16,0)	(2.98249e-16,0)	(1.26427e-16,0)	(5.35863e-17,0)	(2.26985e-17,0)	(9.57393e-18,0)	(3.8747e-18,0)	
(0.0180578,0)	(0.0459877,0)	(0.117867,0)	(0.325714,0)	(1,0)	(0.325719,0)	(0.117903,0)	(0.0461475,0)	(0.0188777,0)	(0.00788384,0)	(0.00332211,0)	(0.0014051,0)	(0.000595181,0)	(0.000252257,0)	(0.000106936,0)	(4.53344e-05,0)	(1.92191e-05,0)	(8.14772e-06,0)	(3.45407e-06,0)	(1.46427e-06,0)	(6.20734e-07,0)	(2.63139e-07,0)	(1.11547e-07,0)	(4.72862e-08,0)	(2.00451e-08,0)	(8.49733e-09,0)	(3.60209e-09,0)	(1.52695e-09,0)	(6.47284e-10,0)	(2.74386e-10,0)	(1.16314e-10,0)	(4.93059e-11,0)	(2.09009e-11,0)	(8.86e-12,0)	(3.7558e-12,0)	(1.59209e-12,0)	(6.74891e-13,0)	(2.86088e-13,0)	(1.21273e-13,0)	(5.14082e-14,0)	(2.17922e-14,0)	(9.23778e-15,0)	(3.91592e-15,0)	(1.65997e-15,0)	(7.03666e-16,0)	(2.98281e-16,0)	(1.26427e-16,0)	(5.35531e-17,0)	(2.2588e-17,0)	(9.14166e-18,0)	
(0.0075129,0)	(0.0187925,0)	(0.0461269,0)	(0.117898,0)	(0.325719,0)	(1,0)	(0.325719,0)	(0.117904,0)	(0.046148,0)	(0.018878,0)	(0.00788399,0)	(0.00332219,0)	(0.00140514,0)	(0.000595197,0)	(0.000252262,0)	(0.000106938,0)	(4.53353e-05,0)	(1.92196e-05,0)	(8.14791e-06,0)	(3.45415e-06,0)	(1.46431e-06,0)	(6.20749e-07,0)	(2.63144e-07,0)	(1.1155e-07,0)	(4.72877e-08,0)	(2.00458e-08,0)	(8.49759e-09,0)	(3.6022e-09,0)	(1.52699e-09,0)	(6.473e-10,0)	(2.74394e-10,0)	(1.16317e-10,0)	(4.9307e-11,0)	(2.09015e-11,0)	(8.86026e-12,0)	(3.75589e-12,0)	(1.59213e-12,0)	(6.74907e-13,0)	(2.86095e-13,0)	(1.21277e-13,0)	(5.14097e-14,0)	(2.17927e-14,0)	(9.23801e-15,0)	(3.91602e-15,0)	(1.66001e-15,0)	(7.03672e-16,0)	(2.98253e-16,0)	(1.26336e-16,0)	(5.3287e-17,0)	(2.1566e-17,0)	
(0.0031597,0)	(0.00784311,0)	(0.0188659,0)	(0.0461449,0)	(0.117903,0)	(0.325719,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.018878,0)	(0.00788404,0)	(0.00332221,0)	(0.00140514,0)	(0.000595198,0)	(0.000252262,0)	(0.000106938,0)	(4.53353e-05,0)	(1.92196e-05,0)	(8.14792e-06,0)	(3.45417e-06,0)	(1.46431e-06,0)	(6.20749e-07,0)	(2.63146e-07,0)	(1.11551e-07,0)	(4.72881e-08,0)	(2.00459e-08,0)	(8.49765e-09,0)	(3.60222e-09,0)	(1.527e-09,0)	(6.47304e-10,0)	(2.74395e-10,0)	(1.16317e-10,0)	(4.93074e-11,0)	(2.09017e-11,0)	(8.86027e-12,0)	(3.75588e-12,0)	(1.59213e-12,0)	(6.74908e-13,0)	(2.86096e-13,0)	(1.21277e-13,0)	(5.14099e-14,0)	(2.17928e-14,0)	(9.23803e-15,0)	(3.91602e-15,0)	(1.65999e-15,0)	(7.0359e-16,0)	(2.98032e-16,0)	(1.25706e-16,0)	(5.0875e-17,0)	
(0.00133515,0)	(0.00330383,0)	(0.00787804,0)	(0.0188762,0)	(0.0461475,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788406,0)	(0.00332222,0)	(0.00140514,0)	(0.000595195,0)	(0.000252261,0)	(0.000106937,0)	(4.53353e-05,0)	(1.92196e-05,0)	(8.14796e-06,0)	(3.45418e-06,0)	(1.46431e-06,0)	(6.2075e-07,0)	(2.63147e-07,0)	(1.11552e-07,0)	(4.72884e-08,0)	(2.0046e-08,0)	(8.49768e-09,0)	(3.60221e-09,0)	(1.527e-09,0)	(6.47304e-10,0)	(2.74394e-10,0)	(1.16317e-10,0)	(4.93076e-11,0)	(2.09016e-11,0)	(8.86024e-12,0)	(3.75588e-12,0)	(1.59213e-12,0)	(6.74908e-13,0)	(2.86097e-13,0)	(1.21277e-13,0)	(5.14099e-14,0)	(2.17928e-14,0)	(9.23802e-15,0)	(3.91596e-15,0)	(1.65979e-15,0)	(7.03067e-16,0)	(2.96544e-16,0)	(1.20016e-16,0)	
(0.000565283,0)	(0.00139713,0)	(0.00331946,0)	(0.00788304,0)	(0.0188777,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788403,0)	(0.0033222,0)	(0.00140513,0)	(0.000595189,0)	(0.000252259,0)	(0.000106937,0)	(4.53349e-05,0)	(1.92196e-05,0)	(8.14792e-06,0)	(3.45414e-06,0)	(1.4643e-06,0)	(6.2075e-07,0)	(2.63148e-07,0)	(1.11552e-07,0)	(4.72883e-08,0)	(2.0046e-08,0)	(8.49762e-09,0)	(3.60221e-09,0)	(1.527e-09,0)	(6.47299e-10,0)	(2.74394e-10,0)	(1.16317e-10,0)	(4.93072e-11,0)	(2.09014e-11,0)	(8.86017e-12,0)	(3.75585e-12,0)	(1.59212e-12,0)	(6.74907e-13,0)	(2.86095e-13,0)	(1.21277e-13,0)	(5.14095e-14,0)	(2.17926e-14,0)	(9.23782e-15,0)	(3.91547e-15,0)	(1.65855e-15,0)	(6.99553e-16,0)	(2.83119e-16,0)	
(0.000239525,0)	(0.000591755,0)	(0.00140393,0)	(0.00332174,0)	(0.00788384,0)	(0.018878,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.0188781,0)	(0.00788402,0)	(0.00332218,0)	(0.00140512,0)	(0.000595187,0)	(0.000252258,0)	(0.000106937,0)	(4.53351e-05,0)	(1.92196e-05,0)	(8.14788e-06,0)	(3.45415e-06,0)	(1.46431e-06,0)	(6.20754e-07,0)	(2.63149e-07,0)	(1.11553e-07,0)	(4.72885e-08,0)	(2.0046e-08,0)	(8.49765e-09,0)	(3.60221e-09,0)	(1.52699e-09,0)	(6.47302e-10,0)	(2.74395e-10,0)	(1.16317e-10,0)	(4.9307e-11,0)	(2.09014e-11,0)	(8.86016e-12,0)	(3.75585e-12,0)	(1.59212e-12,0)	(6.74907e-13,0)	(2.86095e-13,0)	(1.21277e-13,0)	(5.14095e-14,0)	(2.17923e-14,0)	(9.23671e-15,0)	(3.91256e-15,0)	(1.65027e-15,0)	(6.67885e-16,0)	
(0.000101525,0)	(0.000250793,0)	(0.000594675,0)	(0.00140493,0)	(0.00332211,0)	(0.00788399,0)	(0.018878,0)	(0.046148,0)	(0.117904,0)	(0.32572,0)	(1,0)	(0.32572,0)	(0.117904,0)	(0.046148,0)	(0.018878,0)	(0.00788399,0)	(0.00332217,0)	(0.00140512,0)	(0.000595188,0)	(0.000252259,0)	(0.000106937,0)	(4.53352e-05,0)	(1.92195e-05,0)	(8.14792e-06,0)	(3.45418e-06,0)	(1.46432e-06,0)	(6.20759e-07,0)	(2.63151e-07,0)	(1.11553e-07,0)	(4.72885e-08,0)	(2.00461e-08,0)	(8.49768e-09,0)	(3.60221e-09,0)	(1.527e-09,0)	(6.47306e-10,0)	(2.74395e-10,0)	(1.16317e-10,0)	(4.93071e-11,0)	(2.09014e-11,0)	(8.86018e-12,0)	(3.75587e-12,0)	(1.59213e-12,0)	(6.74909e-13,0)	(2.86096e-13,0)	(1.21277e-13,0)	(5.14088e-14,0)	(2.17897e-14,0)	(9.22987e-15,0)	(3.89304e-15,0)	(1.57557e-15,0)	
