(0.984635,0)	(0.575269,0)	(0.364826,0)	(0.249474,0)	(0.17828,0)	(0.130951,0)	(0.097986,0)	(0.0742994,0)	(0.0569067,0)	(0.0439169,0)	(0.0340946,0)	(0.0265967,0)	(0.0208261,0)	(0.0163588,0)	(0.0128849,0)	(0.0101721,0)	(0.0080464,0)	(0.00637441,0)	(0.00505671,0)	(0.00401459,0)	(0.00318972,0)	(0.00253611,0)	(0.0020174,0)	(0.00160547,0)	(0.00127814,0)	(0.00101801,0)	(0.000811067,0)	(0.000646404,0)	(0.000515193,0)	(0.000410659,0)	(0.000327351,0)	(0.000260936,0)	(0.000208005,0)	(0.000165788,0)	(0.000132102,0)	(0.000105229,0)	(8.38015e-05,0)	(6.67302e-05,0)	(5.31342e-05,0)	(4.23064e-05,0)	(3.36838e-05,0)	(2.6807e-05,0)	(2.13208e-05,0)	(1.69429e-05,0)	(1.34392e-05,0)	(1.06284e-05,0)	(8.35712e-06,0)	(6.48992e-06,0)	(4.89955e-06,0)	(3.3476e-06,0)	
(0.575269,0)	(1.00814,0)	(0.604815,0)	(0.393448,0)	(0.273761,0)	(0.198031,0)	(0.146758,0)	(0.110562,0)	(0.0842939,0)	(0.0648411,0)	(0.0502201,0)	(0.0391076,0)	(0.0305821,0)	(0.0239977,0)	(0.0188864,0)	(0.0149007,0)	(0.0117809,0)	(0.00932916,0)	(0.0073983,0)	(0.00587207,0)	(0.00466456,0)	(0.0037081,0)	(0.00294926,0)	(0.00234678,0)	(0.00186814,0)	(0.00148782,0)	(0.00118531,0)	(0.000944623,0)	(0.000752849,0)	(0.000600077,0)	(0.000478331,0)	(0.000381277,0)	(0.00030393,0)	(0.000242241,0)	(0.000193017,0)	(0.00015375,0)	(0.000122441,0)	(9.74979e-05,0)	(7.76325e-05,0)	(6.1812e-05,0)	(4.92137e-05,0)	(3.91661e-05,0)	(3.11504e-05,0)	(2.47541e-05,0)	(1.96351e-05,0)	(1.55284e-05,0)	(1.22101e-05,0)	(9.48209e-06,0)	(7.15858e-06,0)	(4.89117e-06,0)	
(0.364826,0)	(0.604815,0)	(1.00372,0)	(0.60861,0)	(0.399383,0)	(0.279757,0)	(0.203421,0)	(0.151363,0)	(0.11441,0)	(0.0874661,0)	(0.0674394,0)	(0.0523418,0)	(0.0408288,0)	(0.0319769,0)	(0.0251288,0)	(0.0198027,0)	(0.0156423,0)	(0.0123779,0)	(0.00981044,0)	(0.00778305,0)	(0.00618034,0)	(0.00491166,0)	(0.00390562,0)	(0.0031072,0)	(0.00247312,0)	(0.00196941,0)	(0.00156883,0)	(0.00125018,0)	(0.000996316,0)	(0.000794102,0)	(0.000632969,0)	(0.000504524,0)	(0.000402166,0)	(0.000320532,0)	(0.000255394,0)	(0.000203434,0)	(0.000162006,0)	(0.000129001,0)	(0.000102716,0)	(8.17835e-05,0)	(6.51144e-05,0)	(5.18202e-05,0)	(4.12146e-05,0)	(3.27516e-05,0)	(2.59787e-05,0)	(2.05453e-05,0)	(1.61549e-05,0)	(1.25456e-05,0)	(9.47154e-06,0)	(6.47164e-06,0)	
(0.249474,0)	(0.393448,0)	(0.60861,0)	(1.0017,0)	(0.609707,0)	(0.401482,0)	(0.282041,0)	(0.20558,0)	(0.153267,0)	(0.11604,0)	(0.0888382,0)	(0.0685867,0)	(0.0532886,0)	(0.0416091,0)	(0.0326215,0)	(0.0256601,0)	(0.0202397,0)	(0.0159977,0)	(0.012668,0)	(0.0100429,0)	(0.00797041,0)	(0.00633148,0)	(0.00503285,0)	(0.00400289,0)	(0.00318533,0)	(0.00253612,0)	(0.00202,0)	(0.00160954,0)	(0.0012826,0)	(0.00102221,0)	(0.000814748,0)	(0.000649389,0)	(0.000517623,0)	(0.000412542,0)	(0.000328699,0)	(0.00026182,0)	(0.000208499,0)	(0.00016602,0)	(0.000132191,0)	(0.000105251,0)	(8.37979e-05,0)	(6.66888e-05,0)	(5.304e-05,0)	(4.21487e-05,0)	(3.34325e-05,0)	(2.64401e-05,0)	(2.079e-05,0)	(1.61453e-05,0)	(1.21893e-05,0)	(8.3287e-06,0)	
(0.17828,0)	(0.273761,0)	(0.399383,0)	(0.609707,0)	(1.00084,0)	(0.610144,0)	(0.402388,0)	(0.283065,0)	(0.206572,0)	(0.154168,0)	(0.116822,0)	(0.089507,0)	(0.0691455,0)	(0.053755,0)	(0.0420011,0)	(0.0329502,0)	(0.0259354,0)	(0.0204658,0)	(0.0161849,0)	(0.012818,0)	(0.0101645,0)	(0.00806929,0)	(0.006411,0)	(0.00509699,0)	(0.0040547,0)	(0.00322751,0)	(0.00257019,0)	(0.00204762,0)	(0.00163149,0)	(0.00130015,0)	(0.0010362,0)	(0.000825848,0)	(0.000658247,0)	(0.000524598,0)	(0.000417969,0)	(0.000332919,0)	(0.000265113,0)	(0.000211097,0)	(0.00016808,0)	(0.000133824,0)	(0.000106547,0)	(8.47924e-05,0)	(6.7438e-05,0)	(5.359e-05,0)	(4.25077e-05,0)	(3.36172e-05,0)	(2.64335e-05,0)	(2.0528e-05,0)	(1.54982e-05,0)	(1.05898e-05,0)	
(0.130951,0)	(0.198031,0)	(0.279757,0)	(0.401482,0)	(0.610144,0)	(1.00043,0)	(0.610342,0)	(0.402819,0)	(0.283565,0)	(0.207065,0)	(0.154623,0)	(0.117224,0)	(0.0898489,0)	(0.0694341,0)	(0.0540011,0)	(0.0422107,0)	(0.0331291,0)	(0.0260832,0)	(0.0205904,0)	(0.016284,0)	(0.0128988,0)	(0.010231,0)	(0.00812287,0)	(0.00645449,0)	(0.00513242,0)	(0.004084,0)	(0.00325138,0)	(0.00258977,0)	(0.00206312,0)	(0.00164391,0)	(0.00131004,0)	(0.00104401,0)	(0.000832086,0)	(0.000663109,0)	(0.000528304,0)	(0.000420789,0)	(0.000335078,0)	(0.000266801,0)	(0.00021243,0)	(0.000169133,0)	(0.000134657,0)	(0.000107163,0)	(8.52293e-05,0)	(6.77276e-05,0)	(5.37215e-05,0)	(4.24856e-05,0)	(3.34068e-05,0)	(2.59436e-05,0)	(1.9587e-05,0)	(1.33838e-05,0)	
(0.097986,0)	(0.146758,0)	(0.203421,0)	(0.282041,0)	(0.402388,0)	(0.610342,0)	(1.00023,0)	(0.610439,0)	(0.403038,0)	(0.283823,0)	(0.207324,0)	(0.154861,0)	(0.117437,0)	(0.0900328,0)	(0.0695926,0)	(0.054137,0)	(0.0423283,0)	(0.0332261,0)	(0.0261667,0)	(0.0206554,0)	(0.0163374,0)	(0.0129434,0)	(0.010267,0)	(0.00815237,0)	(0.00647885,0)	(0.0051531,0)	(0.00410108,0)	(0.00326565,0)	(0.00260099,0)	(0.00207214,0)	(0.00165108,0)	(0.00131566,0)	(0.0010485,0)	(0.000835521,0)	(0.000665632,0)	(0.000530147,0)	(0.000422148,0)	(0.000336121,0)	(0.000267618,0)	(0.00021307,0)	(0.000169636,0)	(0.000134998,0)	(0.000107366,0)	(8.53184e-05,0)	(6.76742e-05,0)	(5.35201e-05,0)	(4.20833e-05,0)	(3.26818e-05,0)	(2.46745e-05,0)	(1.68603e-05,0)	
(0.0742994,0)	(0.110562,0)	(0.151363,0)	(0.20558,0)	(0.283065,0)	(0.402819,0)	(0.610439,0)	(1.00013,0)	(0.610489,0)	(0.403153,0)	(0.28396,0)	(0.207461,0)	(0.154998,0)	(0.117558,0)	(0.0901345,0)	(0.069677,0)	(0.0542089,0)	(0.0423856,0)	(0.0332764,0)	(0.0262035,0)	(0.0206857,0)	(0.0163634,0)	(0.0129643,0)	(0.0102844,0)	(0.00816714,0)	(0.0064921,0)	(0.00516433,0)	(0.00411081,0)	(0.00327319,0)	(0.00260707,0)	(0.00207695,0)	(0.00165478,0)	(0.00131862,0)	(0.00105068,0)	(0.000836988,0)	(0.000666591,0)	(0.000530773,0)	(0.000422597,0)	(0.000336462,0)	(0.000267876,0)	(0.000213266,0)	(0.000169717,0)	(0.000134978,0)	(0.000107259,0)	(8.50773e-05,0)	(6.72831e-05,0)	(5.29053e-05,0)	(4.10862e-05,0)	(3.10199e-05,0)	(2.11965e-05,0)	
(0.0569067,0)	(0.0842939,0)	(0.11441,0)	(0.153267,0)	(0.206572,0)	(0.283565,0)	(0.403038,0)	(0.610489,0)	(1.00007,0)	(0.610516,0)	(0.403216,0)	(0.284037,0)	(0.207536,0)	(0.155072,0)	(0.117625,0)	(0.0901931,0)	(0.0697288,0)	(0.0542507,0)	(0.0424242,0)	(0.0333035,0)	(0.0262263,0)	(0.0207062,0)	(0.0163799,0)	(0.0129783,0)	(0.0102967,0)	(0.00817878,0)	(0.00650218,0)	(0.00517332,0)	(0.0041177,0)	(0.00327877,0)	(0.00261147,0)	(0.00208029,0)	(0.00165746,0)	(0.00132052,0)	(0.00105186,0)	(0.00083766,0)	(0.000666953,0)	(0.000531001,0)	(0.000422757,0)	(0.000336571,0)	(0.000267953,0)	(0.000213233,0)	(0.000169585,0)	(0.000134758,0)	(0.000106889,0)	(8.45322e-05,0)	(6.64684e-05,0)	(5.16194e-05,0)	(3.89727e-05,0)	(2.66311e-05,0)	
(0.0439169,0)	(0.0648411,0)	(0.0874661,0)	(0.11604,0)	(0.154168,0)	(0.207065,0)	(0.283823,0)	(0.403153,0)	(0.610516,0)	(1.00004,0)	(0.610531,0)	(0.403251,0)	(0.28408,0)	(0.20758,0)	(0.155113,0)	(0.117662,0)	(0.0902266,0)	(0.0697561,0)	(0.054278,0)	(0.042442,0)	(0.0333193,0)	(0.0262416,0)	(0.0207185,0)	(0.0163908,0)	(0.0129883,0)	(0.0103069,0)	(0.00818781,0)	(0.00651054,0)	(0.00517961,0)	(0.00412281,0)	(0.00328277,0)	(0.00261445,0)	(0.00208268,0)	(0.00165908,0)	(0.00132139,0)	(0.00105221,0)	(0.000837727,0)	(0.000666929,0)	(0.000530956,0)	(0.000422699,0)	(0.000336513,0)	(0.000267788,0)	(0.000212969,0)	(0.000169231,0)	(0.000134231,0)	(0.000106155,0)	(8.34705e-05,0)	(6.48234e-05,0)	(4.89421e-05,0)	(3.34438e-05,0)	
(0.0340946,0)	(0.0502201,0)	(0.0674394,0)	(0.0888382,0)	(0.116822,0)	(0.154623,0)	(0.207324,0)	(0.28396,0)	(0.403216,0)	(0.610531,0)	(1.00002,0)	(0.610539,0)	(0.403271,0)	(0.284105,0)	(0.207605,0)	(0.155138,0)	(0.117684,0)	(0.0902455,0)	(0.0697764,0)	(0.0542903,0)	(0.0424539,0)	(0.0333319,0)	(0.0262517,0)	(0.0207277,0)	(0.0163996,0)	(0.012998,0)	(0.0103156,0)	(0.00819614,0)	(0.0065167,0)	(0.00518462,0)	(0.0041267,0)	(0.00328561,0)	(0.00261673,0)	(0.00208413,0)	(0.00165969,0)	(0.00132146,0)	(0.001052,0)	(0.000837465,0)	(0.000666689,0)	(0.000530737,0)	(0.000422509,0)	(0.000336213,0)	(0.000267382,0)	(0.000212466,0)	(0.000168522,0)	(0.000133273,0)	(0.000104793,0)	(8.13831e-05,0)	(6.14452e-05,0)	(4.19882e-05,0)	
