(0.996794,0)	(0.414255,0)	(0.191305,0)	(0.0958161,0)	(0.0502142,0)	(0.0270503,0)	(0.0148377,0)	(0.00824008,0)	(0.00461536,0)	(0.00260036,0)	(0.00147093,0)	(0.000834275,0)	(0.000474014,0)	(0.000269636,0)	(0.000153494,0)	(8.74217e-05,0)	(4.98065e-05,0)	(2.83818e-05,0)	(1.61752e-05,0)	(9.21927e-06,0)	(5.25492e-06,0)	(2.99537e-06,0)	(1.70745e-06,0)	(9.73307e-07,0)	(5.54827e-07,0)	(3.16279e-07,0)	(1.80295e-07,0)	(1.02777e-07,0)	(5.85888e-08,0)	(3.33987e-08,0)	(1.90391e-08,0)	(1.08533e-08,0)	(6.18698e-09,0)	(3.5269e-09,0)	(2.01051e-09,0)	(1.14609e-09,0)	(6.53327e-10,0)	(3.7243e-10,0)	(2.12304e-10,0)	(1.21025e-10,0)	(6.89902e-11,0)	(3.93277e-11,0)	(2.24187e-11,0)	(1.27795e-11,0)	(7.28435e-12,0)	(4.15115e-12,0)	(2.36378e-12,0)	(1.34218e-12,0)	(7.53315e-13,0)	(3.9533e-13,0)	
(0.414255,0)	(1.00246,0)	(0.426297,0)	(0.200078,0)	(0.101267,0)	(0.0534607,0)	(0.0289536,0)	(0.0159459,0)	(0.00888246,0)	(0.0049864,0)	(0.00281396,0)	(0.00159356,0)	(0.000904534,0)	(0.000514212,0)	(0.000292609,0)	(0.000166614,0)	(9.49109e-05,0)	(5.40797e-05,0)	(3.08195e-05,0)	(1.75656e-05,0)	(1.00122e-05,0)	(5.70707e-06,0)	(3.25322e-06,0)	(1.85447e-06,0)	(1.05713e-06,0)	(6.02624e-07,0)	(3.43528e-07,0)	(1.95831e-07,0)	(1.11635e-07,0)	(6.36383e-08,0)	(3.62775e-08,0)	(2.06802e-08,0)	(1.17889e-08,0)	(6.72031e-09,0)	(3.83092e-09,0)	(2.18383e-09,0)	(1.24489e-09,0)	(7.0965e-10,0)	(4.04538e-10,0)	(2.30608e-10,0)	(1.31459e-10,0)	(7.49377e-11,0)	(4.27181e-11,0)	(2.4351e-11,0)	(1.38801e-11,0)	(7.90991e-12,0)	(4.50413e-12,0)	(2.5575e-12,0)	(1.43543e-12,0)	(7.53293e-13,0)	
(0.191305,0)	(0.426297,0)	(1.00056,0)	(0.427308,0)	(0.201179,0)	(0.10206,0)	(0.053976,0)	(0.0292739,0)	(0.0161409,0)	(0.00899949,0)	(0.00505571,0)	(0.00285456,0)	(0.00161715,0)	(0.000918162,0)	(0.000522049,0)	(0.000297104,0)	(0.000169188,0)	(9.63819e-05,0)	(5.49198e-05,0)	(3.12991e-05,0)	(1.78392e-05,0)	(1.01683e-05,0)	(5.79617e-06,0)	(3.30403e-06,0)	(1.88345e-06,0)	(1.07367e-06,0)	(6.12049e-07,0)	(3.48903e-07,0)	(1.98896e-07,0)	(1.13382e-07,0)	(6.46345e-08,0)	(3.68454e-08,0)	(2.1004e-08,0)	(1.19735e-08,0)	(6.8255e-09,0)	(3.89089e-09,0)	(2.218e-09,0)	(1.26438e-09,0)	(7.20762e-10,0)	(4.10873e-10,0)	(2.34219e-10,0)	(1.33516e-10,0)	(7.61107e-11,0)	(4.33861e-11,0)	(2.47302e-11,0)	(1.40931e-11,0)	(8.025e-12,0)	(4.5567e-12,0)	(2.5575e-12,0)	(1.34214e-12,0)	
(0.0958161,0)	(0.200078,0)	(0.427308,0)	(1.00013,0)	(0.427485,0)	(0.201401,0)	(0.10223,0)	(0.0540907,0)	(0.0293474,0)	(0.016187,0)	(0.00902782,0)	(0.00507279,0)	(0.00286469,0)	(0.00162309,0)	(0.000921607,0)	(0.000524037,0)	(0.000298248,0)	(0.000169842,0)	(9.67564e-05,0)	(5.51338e-05,0)	(3.14212e-05,0)	(1.7909e-05,0)	(1.02082e-05,0)	(5.8189e-06,0)	(3.317e-06,0)	(1.89086e-06,0)	(1.07789e-06,0)	(6.14459e-07,0)	(3.50279e-07,0)	(1.99679e-07,0)	(1.13829e-07,0)	(6.48892e-08,0)	(3.69906e-08,0)	(2.10868e-08,0)	(1.20206e-08,0)	(6.85236e-09,0)	(3.90619e-09,0)	(2.22673e-09,0)	(1.26936e-09,0)	(7.23602e-10,0)	(4.12491e-10,0)	(2.3514e-10,0)	(1.34041e-10,0)	(7.64089e-11,0)	(4.35533e-11,0)	(2.48198e-11,0)	(1.41331e-11,0)	(8.02498e-12,0)	(4.50411e-12,0)	(2.3637e-12,0)	
(0.0502142,0)	(0.101267,0)	(0.201179,0)	(0.427485,0)	(1.00004,0)	(0.427525,0)	(0.201454,0)	(0.102272,0)	(0.0541198,0)	(0.0293664,0)	(0.0161991,0)	(0.00903542,0)	(0.00507742,0)	(0.00286747,0)	(0.00162472,0)	(0.00092256,0)	(0.000524589,0)	(0.000298564,0)	(0.000170023,0)	(9.68599e-05,0)	(5.51928e-05,0)	(3.14549e-05,0)	(1.79283e-05,0)	(1.02192e-05,0)	(5.82521e-06,0)	(3.32062e-06,0)	(1.89292e-06,0)	(1.07907e-06,0)	(6.15133e-07,0)	(3.50661e-07,0)	(1.99898e-07,0)	(1.13953e-07,0)	(6.49603e-08,0)	(3.7031e-08,0)	(2.11097e-08,0)	(1.20337e-08,0)	(6.85978e-09,0)	(3.91045e-09,0)	(2.22917e-09,0)	(1.27074e-09,0)	(7.24392e-10,0)	(4.12939e-10,0)	(2.35395e-10,0)	(1.34185e-10,0)	(7.64857e-11,0)	(4.35871e-11,0)	(2.48198e-11,0)	(1.4093e-11,0)	(7.90985e-12,0)	(4.151e-12,0)	
(0.0270503,0)	(0.0534607,0)	(0.10206,0)	(0.201401,0)	(0.427525,0)	(1.00001,0)	(0.427535,0)	(0.201468,0)	(0.102283,0)	(0.0541277,0)	(0.0293716,0)	(0.0162025,0)	(0.00903753,0)	(0.00507875,0)	(0.00286826,0)	(0.00162519,0)	(0.000922835,0)	(0.000524746,0)	(0.000298653,0)	(0.000170075,0)	(9.68888e-05,0)	(5.52094e-05,0)	(3.14646e-05,0)	(1.79338e-05,0)	(1.02224e-05,0)	(5.82706e-06,0)	(3.32166e-06,0)	(1.89351e-06,0)	(1.07941e-06,0)	(6.15327e-07,0)	(3.50773e-07,0)	(1.99961e-07,0)	(1.1399e-07,0)	(6.49807e-08,0)	(3.70425e-08,0)	(2.11162e-08,0)	(1.20373e-08,0)	(6.86193e-09,0)	(3.91167e-09,0)	(2.22987e-09,0)	(1.27114e-09,0)	(7.24614e-10,0)	(4.13066e-10,0)	(2.35464e-10,0)	(1.34215e-10,0)	(7.64856e-11,0)	(4.35532e-11,0)	(2.47301e-11,0)	(1.388e-11,0)	(7.28408e-12,0)	
(0.0148377,0)	(0.0289536,0)	(0.053976,0)	(0.10223,0)	(0.201454,0)	(0.427535,0)	(1,0)	(0.427538,0)	(0.201472,0)	(0.102286,0)	(0.0541299,0)	(0.0293731,0)	(0.0162035,0)	(0.00903819,0)	(0.00507914,0)	(0.0028685,0)	(0.00162534,0)	(0.000922916,0)	(0.000524791,0)	(0.000298679,0)	(0.000170089,0)	(9.68969e-05,0)	(5.52144e-05,0)	(3.14674e-05,0)	(1.79355e-05,0)	(1.02234e-05,0)	(5.8276e-06,0)	(3.32198e-06,0)	(1.89371e-06,0)	(1.07952e-06,0)	(6.15387e-07,0)	(3.50807e-07,0)	(1.99981e-07,0)	(1.14001e-07,0)	(6.49866e-08,0)	(3.70459e-08,0)	(2.11181e-08,0)	(1.20385e-08,0)	(6.86258e-09,0)	(3.91205e-09,0)	(2.23008e-09,0)	(1.27125e-09,0)	(7.24678e-10,0)	(4.13095e-10,0)	(2.35466e-10,0)	(1.34186e-10,0)	(7.64093e-11,0)	(4.33862e-11,0)	(2.4351e-11,0)	(1.27791e-11,0)	
(0.00824008,0)	(0.0159459,0)	(0.0292739,0)	(0.0540907,0)	(0.102272,0)	(0.201468,0)	(0.427538,0)	(1,0)	(0.427538,0)	(0.201473,0)	(0.102287,0)	(0.0541305,0)	(0.0293735,0)	(0.0162038,0)	(0.00903838,0)	(0.00507926,0)	(0.00286857,0)	(0.00162537,0)	(0.000922934,0)	(0.000524801,0)	(0.000298684,0)	(0.000170091,0)	(9.68992e-05,0)	(5.52156e-05,0)	(3.14682e-05,0)	(1.7936e-05,0)	(1.02236e-05,0)	(5.82778e-06,0)	(3.3221e-06,0)	(1.89376e-06,0)	(1.07955e-06,0)	(6.15406e-07,0)	(3.50818e-07,0)	(1.99986e-07,0)	(1.14003e-07,0)	(6.49882e-08,0)	(3.70466e-08,0)	(2.11186e-08,0)	(1.20388e-08,0)	(6.86277e-09,0)	(3.91215e-09,0)	(2.23012e-09,0)	(1.27128e-09,0)	(7.24681e-10,0)	(4.13071e-10,0)	(2.35398e-10,0)	(1.34043e-10,0)	(7.61112e-11,0)	(4.27183e-11,0)	(2.24181e-11,0)	
(0.00461536,0)	(0.00888246,0)	(0.0161409,0)	(0.0293474,0)	(0.0541198,0)	(0.102283,0)	(0.201472,0)	(0.427538,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102287,0)	(0.0541307,0)	(0.0293737,0)	(0.0162039,0)	(0.00903842,0)	(0.00507929,0)	(0.00286858,0)	(0.00162537,0)	(0.000922934,0)	(0.000524799,0)	(0.000298683,0)	(0.000170092,0)	(9.68993e-05,0)	(5.52158e-05,0)	(3.14685e-05,0)	(1.79361e-05,0)	(1.02237e-05,0)	(5.82786e-06,0)	(3.32213e-06,0)	(1.89378e-06,0)	(1.07956e-06,0)	(6.15412e-07,0)	(3.50821e-07,0)	(1.99987e-07,0)	(1.14004e-07,0)	(6.4988e-08,0)	(3.70468e-08,0)	(2.11188e-08,0)	(1.20389e-08,0)	(6.86281e-09,0)	(3.91215e-09,0)	(2.23012e-09,0)	(1.27126e-09,0)	(7.24623e-10,0)	(4.12944e-10,0)	(2.35142e-10,0)	(1.33517e-10,0)	(7.49381e-11,0)	(3.93267e-11,0)	
(0.00260036,0)	(0.0049864,0)	(0.00899949,0)	(0.016187,0)	(0.0293664,0)	(0.0541277,0)	(0.102286,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102287,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903844,0)	(0.00507928,0)	(0.00286857,0)	(0.00162537,0)	(0.000922926,0)	(0.000524795,0)	(0.000298682,0)	(0.000170092,0)	(9.68993e-05,0)	(5.52162e-05,0)	(3.14685e-05,0)	(1.79362e-05,0)	(1.02238e-05,0)	(5.82788e-06,0)	(3.32215e-06,0)	(1.89379e-06,0)	(1.07957e-06,0)	(6.15415e-07,0)	(3.5082e-07,0)	(1.99987e-07,0)	(1.14003e-07,0)	(6.49881e-08,0)	(3.70469e-08,0)	(2.11188e-08,0)	(1.20389e-08,0)	(6.86278e-09,0)	(3.91213e-09,0)	(2.23007e-09,0)	(1.27115e-09,0)	(7.24397e-10,0)	(4.12493e-10,0)	(2.34219e-10,0)	(1.31459e-10,0)	(6.89882e-11,0)	
(0.00147093,0)	(0.00281396,0)	(0.00505571,0)	(0.00902782,0)	(0.0161991,0)	(0.0293716,0)	(0.0541299,0)	(0.102287,0)	(0.201473,0)	(0.427539,0)	(1,0)	(0.427539,0)	(0.201473,0)	(0.102288,0)	(0.0541308,0)	(0.0293737,0)	(0.0162039,0)	(0.00903844,0)	(0.00507928,0)	(0.00286857,0)	(0.00162536,0)	(0.000922923,0)	(0.000524797,0)	(0.000298683,0)	(0.000170092,0)	(9.69003e-05,0)	(5.52165e-05,0)	(3.14689e-05,0)	(1.79365e-05,0)	(1.02239e-05,0)	(5.82795e-06,0)	(3.32218e-06,0)	(1.89381e-06,0)	(1.07958e-06,0)	(6.15417e-07,0)	(3.50822e-07,0)	(1.99987e-07,0)	(1.14004e-07,0)	(6.49886e-08,0)	(3.70472e-08,0)	(2.11189e-08,0)	(1.20389e-08,0)	(6.86278e-09,0)	(3.91207e-09,0)	(2.2299e-09,0)	(1.27076e-09,0)	(7.2361e-10,0)	(4.10876e-10,0)	(2.3061e-10,0)	(1.21022e-10,0)	
